"","Province_State","Admin2","Lat","Long_","8/31/22"
"1","Alabama","Autauga",32.53952745,-86.64408227,17991
"2","Alabama","Baldwin",30.72774991,-87.72207058,64095
"3","Alabama","Barbour",31.868263,-85.3871286,6650
"4","Alabama","Bibb",32.99642064,-87.1251146,7291
"5","Alabama","Blount",33.98210918,-86.56790593,16496
"6","Alabama","Bullock",32.10030533,-85.71265535,2715
"7","Alabama","Butler",31.75300095,-86.68057478,5843
"8","Alabama","Calhoun",33.77483727,-85.82630386,35737
"9","Alabama","Chambers",32.91360079,-85.39072749,9800
"10","Alabama","Cherokee",34.17805983,-85.60638968,5805
"11","Alabama","Chilton",32.85044126,-86.7173256,12120
"12","Alabama","Choctaw",32.02227341,-88.2656443,2158
"13","Alabama","Clarke",31.68099859,-87.83548597,7893
"14","Alabama","Clay",33.26984193,-85.85836077,4643
"15","Alabama","Cleburne",33.67679204,-85.52005899,3811
"16","Alabama","Coffee",31.39932826,-85.98901039,15623
"17","Alabama","Colbert",34.69847452,-87.80168544,18935
"18","Alabama","Conecuh",31.43401703,-86.99320044,3274
"19","Alabama","Coosa",32.93690146,-86.24847739,3380
"20","Alabama","Covington",31.2477854,-86.45050893,10513
"21","Alabama","Crenshaw",31.72941803,-86.31593104,4277
"22","Alabama","Cullman",34.13020303,-86.86888037,27995
"23","Alabama","Dale",31.43037123,-85.61095742,15000
"24","Alabama","Dallas",32.32688101,-87.1086671,9879
"25","Alabama","DeKalb",34.45946862,-85.80782906,20770
"26","Alabama","Elmore",32.59785413,-86.14415284,26970
"27","Alabama","Escambia",31.1256789,-87.15918694,11321
"28","Alabama","Etowah",34.04567266,-86.04051873,31176
"29","Alabama","Fayette",33.72076938,-87.73886638,5384
"30","Alabama","Franklin",34.44235334,-87.84289505,10728
"31","Alabama","Geneva",31.09389027,-85.83572839,7275
"32","Alabama","Greene",32.85504247,-87.95684022,2090
"33","Alabama","Hale",32.76039258,-87.63284988,5283
"34","Alabama","Henry",31.51148016,-85.24267944,5273
"35","Alabama","Houston",31.15197924,-85.29939599,29435
"36","Alabama","Jackson",34.78144169,-85.99750489,16567
"37","Alabama","Jefferson",33.55554728,-86.895063,213383
"38","Alabama","Lamar",33.77995024,-88.09668032,4249
"39","Alabama","Lauderdale",34.90171875,-87.65624729,27464
"40","Alabama","Lawrence",34.52041498,-87.31069453,8590
"41","Alabama","Lee",32.60154883,-85.35132246,43115
"42","Alabama","Limestone",34.81185586,-86.98310072,28601
"43","Alabama","Lowndes",32.1597283,-86.65158371,2987
"44","Alabama","Macon",32.38759944,-85.69267724,4609
"45","Alabama","Madison",34.76327133,-86.55069633,104317
"46","Alabama","Marengo",32.24767634,-87.78796182,5710
"47","Alabama","Marion",34.13697363,-87.88704173,9122
"48","Alabama","Marshall",34.36975964,-86.30486727,30072
"49","Alabama","Mobile",30.78472347,-88.20842409,125962
"50","Alabama","Monroe",31.56729412,-87.36995001,6047
"51","Alabama","Montgomery",32.2206831,-86.20969272,65060
"52","Alabama","Morgan",34.45500589,-86.85475946,41450
"53","Alabama","Perry",32.64048341,-87.29770589,2397
"54","Alabama","Pickens",33.28094866,-88.08818103,5805
"55","Alabama","Pike",31.80396383,-85.9408295,8539
"56","Alabama","Randolph",33.29526734,-85.45708831,5702
"57","Alabama","Russell",32.28725256,-85.18415324,11724
