"","Region","Confirmed","Deaths","Recovered"
"1","Afghanistan",193250,7777,0
"2","Albania",329352,3582,0
"3","Algeria",270304,6878,0
"4","Andorra",46027,154,0
"5","Angola",102636,1917,0
"6","Antarctica",11,0,0
"7","Antigua and Barbuda",8974,145,0
"8","Argentina",9678225,129711,0
"9","Armenia",434398,8655,0
"10","Australia",10042081,13961,0
"11","Austria",4956010,20639,0
"12","Azerbaijan",813437,9805,0
"13","Bahamas",37075,823,0
"14","Bahrain",671697,1515,0
"15","Bangladesh",2011946,29323,0
"16","Barbados",101120,542,0
"17","Belarus",994037,7118,0
"18","Belgium",4482315,32516,0
"19","Belize",68302,680,0
"20","Benin",27490,163,0
"21","Bhutan",61076,21,0
"22","Bolivia",1101652,22198,0
"23","Bosnia and Herzegovina",395850,16050,0
"24","Botswana",325864,2778,0
"25","Brazil",34429853,683965,0
"26","Brunei",220245,225,0
"27","Bulgaria",1242910,37603,0
"28","Burkina Faso",21128,387,0
"29","Burma",615221,19438,0
"30","Burundi",49287,38,0
"31","Cabo Verde",62320,410,0
"32","Cambodia",137620,3056,0
"33","Cameroon",121652,1935,0
"34","Canada",4194892,44165,0
"35","Central African Republic",14862,113,0
"36","Chad",7538,193,0
"37","Chile",4508422,60451,0
"38","China",2498088,15240,0
"39","Colombia",6299595,141519,0
"40","Comoros",8455,161,0
"41","Congo (Brazzaville)",24837,386,0
"42","Congo (Kinshasa)",92634,1400,0
"43","Costa Rica",1088716,8856,0
"44","Cote d'Ivoire",86738,819,0
"45","Croatia",1213658,16702,0
"46","Cuba",1110539,8530,0
"47","Cyprus",576278,1168,0
"48","Czechia",4348510,40829,0
"49","Denmark",3319834,6972,0
"50","Diamond Princess",712,13,0
"51","Djibouti",15690,189,0
"52","Dominica",14852,68,0
"53","Dominican Republic",638500,4384,0
"54","Ecuador",995968,35843,0
"55","Egypt",515645,24794,0
"56","El Salvador",201785,4223,0
"57","Equatorial Guinea",16956,183,0
"58","Eritrea",10154,103,0
"59","Estonia",597838,2651,0
"60","Eswatini",73367,1422,0
"61","Ethiopia",493190,7572,0
"62","Fiji",68153,878,0
"63","Finland",1258798,5577,0
"64","France",34745833,155133,0
"65","Gabon",48649,306,0
"66","Gambia",12311,371,0
"67","Georgia",1735682,16839,0
"68","Germany",32145157,147404,0
"69","Ghana",168580,1459,0
"70","Greece",4762827,32552,0
"71","Grenada",19289,236,0
"72","Guatemala",1101954,19490,0
"73","Guinea",37470,447,0
"74","Guinea-Bissau",8491,175,0
"75","Guyana",71035,1278,0
"76","Haiti",33551,841,0
"77","Holy See",29,0,0
"78","Honduras",453443,10972,0
"79","Hungary",2048547,47291,0
"80","Iceland",204717,213,0
"81","India",44436339,527911,0
"82","Indonesia",6358808,157566,0
"83","Iran",7528961,143867,0
"84","Iraq",2457871,25346,0
"85","Ireland",1656956,7839,0
"86","Israel",4633417,11620,0
"87","Italy",21867757,175595,0
"88","Jamaica",149798,3254,0
"89","Japan",18966848,39942,0
"90","Jordan",1735495,14110,0
"91","Kazakhstan",1478394,19041,0
"92","Kenya",338183,5674,0
"93","Kiribati",3430,13,0
"94","Korea, North",1,6,0
"95","Korea, South",23327897,26876,0
"96","Kosovo",271476,3196,0
"97","Kuwait",657395,2563,0
"98","Kyrgyzstan",205716,2991,0
"99","Laos",214039,757,0
"100","Latvia",899133,5946,0
"101","Lebanon",1209478,10627,0
"102","Lesotho",34206,704,0
"103","Liberia",7883,294,0
"104","Libya",506790,6437,0
"105","Liechtenstein",19161,86,0
"106","Lithuania",1218327,9289,0
"107","Luxembourg",286827,1123,0
"108","MS Zaandam",9,2,0
"109","Madagascar",66626,1410,0
"110","Malawi",87860,2676,0
"111","Malaysia",4782624,36216,0
"112","Maldives",184856,308,0
"113","Mali",31412,739,0
"114","Malta",114050,801,0
"115","Marshall Islands",15042,17,0
"116","Mauritania",62765,993,0
"117","Mauritius",256452,1023,0
"118","Mexico",7014510,329390,0
"119","Micronesia",7327,26,0
"120","Moldova",575052,11755,0
"121","Monaco",14379,61,0
"122","Mongolia",978960,2128,0
"123","Montenegro",275538,2773,0
"124","Morocco",1264435,16273,0
"125","Mozambique",230076,2220,0
"126","Namibia",169253,4077,0
"127","Nauru",4610,1,0
"128","Nepal",997346,12001,0
"129","Netherlands",8496405,23239,0
"130","New Zealand",1749378,1909,0
"131","Nicaragua",14931,244,0
"132","Niger",9331,312,0
"133","Nigeria",263526,3148,0
"134","North Macedonia",340341,9489,0
"135","Norway",1460127,3980,0
"136","Oman",397846,4628,0
"137","Pakistan",1569076,30581,0
"138","Palau",5348,6,0
"139","Panama",978181,8470,0
"140","Papua New Guinea",44880,664,0
"141","Paraguay",715162,19478,0
"142","Peru",4103874,215762,0
"143","Philippines",3880229,61814,0
"144","Poland",6176885,117093,0
"145","Portugal",5420140,24855,0
"146","Qatar",429396,681,0
"147","Romania",3219354,66709,0
"148","Russia",19244647,376558,0
"149","Rwanda",132439,1466,0
"150","Saint Kitts and Nevis",6512,46,0
"151","Saint Lucia",28775,391,0
"152","Saint Vincent and the Grenadines",9428,115,0
"153","Samoa",15839,29,0
"154","San Marino",20373,118,0
"155","Sao Tome and Principe",6153,76,0
"156","Saudi Arabia",813461,9295,0
"157","Senegal",88098,1968,0
"158","Serbia",2283195,16684,0
"159","Seychelles",46081,169,0
"160","Sierra Leone",7747,126,0
"161","Singapore",1839244,1592,0
"162","Slovakia",2580748,20236,0
"163","Slovenia",1126715,6783,0
"164","Solomon Islands",21544,153,0
"165","Somalia",27020,1361,0
"166","South Africa",4011937,102084,0
"167","South Sudan",17823,138,0
"168","Spain",13342530,112600,0
"169","Sri Lanka",669957,16698,0
"170","Sudan",63228,4961,0
"171","Summer Olympics 2020",865,0,0
"172","Suriname",81039,1383,0
"173","Sweden",2564423,19810,0
"174","Switzerland",4045011,13974,0
"175","Syria",57043,3163,0
"176","Taiwan*",5308029,9914,0
"177","Tajikistan",17786,125,0
"178","Tanzania",38712,841,0
"179","Thailand",4652923,32328,0
"180","Timor-Leste",23170,138,0
"181","Togo",38491,282,0
"182","Tonga",15235,12,0
"183","Trinidad and Tobago",179146,4144,0
"184","Tunisia",1143862,29234,0
"185","Turkey",16671848,100400,0
"186","Tuvalu",20,0,0
"187","US",94528255,1046240,0
"188","Uganda",169396,3628,0
"189","Ukraine",5329263,116591,0
"190","United Arab Emirates",1015398,2341,0
"191","United Kingdom",23738015,207831,0
"192","Uruguay",979160,7445,0
"193","Uzbekistan",243801,1637,0
"194","Vanuatu",11815,14,0
"195","Venezuela",542508,5796,0
"196","Vietnam",11411679,43117,0
"197","West Bank and Gaza",702332,5704,0
"198","Winter Olympics 2022",535,0,0
"199","Yemen",11926,2155,0
"200","Zambia",332822,4016,0
"201","Zimbabwe",256726,5596,0
